               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10742,            0.023713,                   0,            0.025329,              0.4359,            0.032543,           0.0089392,            0.090682,            0.012636,                   0,            0.070769,           0.0032479,           0.0032479
                   1,            0.077528,            0.017879,                   0,             0.26598,             0.21368,             0.17228,            0.051704,            0.066463,            0.011287,                   0,            0.040756,           0.0065682,           0.0065682
                   2,            0.068295,            0.016616,                   0,             0.37364,             0.35691,             0.26004,            0.067912,            0.069105,            0.010201,                   0,             0.01073,           0.0098753,           0.0098753
                   3,             0.06036,            0.015711,                   0,             0.44419,             0.49865,             0.42686,             0.12734,             0.05691,           0.0096337,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.054013,            0.013856,                   0,             0.51935,             0.55556,             0.58845,             0.25553,            0.050603,           0.0086946,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,             0.04888,            0.011976,                   0,             0.69633,             0.54877,             0.68962,             0.27434,            0.050354,           0.0075383,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.046596,            0.011123,                   0,             0.63675,             0.67421,             0.67845,              0.2517,            0.049322,           0.0071545,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.044717,           0.0097865,                   0,              0.7683,             0.70854,              0.7809,             0.32713,            0.044788,           0.0068506,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.042929,           0.0092426,                   0,             0.78297,             0.83761,             0.84147,             0.41214,            0.040751,           0.0065228,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039378,           0.0087896,                   0,             0.91788,             0.81197,             0.90821,             0.43659,            0.037766,           0.0064471,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.039854,            0.008466,                   0,             0.94533,              0.8547,             0.94271,             0.40825,            0.037143,            0.006011,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038491,           0.0080484,                   0,             0.98104,             0.88474,              0.9698,             0.49903,            0.033618,           0.0058331,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.037117,           0.0080074,                   0,              0.9705,             0.86325,             0.96693,             0.49486,            0.032813,           0.0054885,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036687,           0.0075846,                   0,              0.9175,             0.90598,             0.96925,             0.50152,             0.03494,           0.0052514,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.036097,            0.007541,                   0,             0.94136,             0.96581,             0.98155,             0.52925,            0.033872,           0.0052618,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.035299,            0.007862,                   0,             0.89463,              0.9434,             0.96559,              0.5399,            0.034604,            0.005124,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,             0.03498,           0.0072881,                   0,             0.95355,             0.87723,              0.9774,             0.51873,            0.034925,           0.0055499,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.032846,           0.0071811,                   0,             0.95596,             0.92308,              0.9815,             0.53811,            0.032388,           0.0049031,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.033453,           0.0068372,                   0,             0.95427,             0.86325,             0.96485,             0.51748,            0.033787,           0.0050731,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.033718,           0.0068469,                   0,             0.97205,             0.89165,             0.97973,               0.555,            0.031116,           0.0051798,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,             0.03333,           0.0072443,                   0,             0.95428,             0.89208,             0.98345,             0.54795,            0.031803,           0.0051369,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.031156,           0.0069014,                   0,             0.98304,             0.99075,             0.99423,             0.59193,            0.028889,           0.0048245,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.031131,           0.0070135,                   0,             0.98955,             0.98291,             0.99389,             0.54998,             0.02995,           0.0049287,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.032059,           0.0065857,                   0,             0.95807,             0.94017,               0.988,             0.55783,            0.033482,           0.0048821,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.032103,           0.0065635,                   0,             0.95131,             0.97436,             0.98712,             0.54601,            0.032085,           0.0048504,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.030607,            0.006158,                   0,             0.92948,             0.94872,             0.97396,             0.58438,            0.029966,           0.0048848,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.030083,           0.0066006,                   0,             0.94954,             0.96492,             0.97561,             0.51877,            0.031001,            0.004733,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.030676,           0.0064403,                   0,             0.94892,             0.95277,             0.98326,             0.56671,            0.031304,           0.0046679,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.029995,           0.0064662,                   0,             0.96445,             0.98291,             0.99285,             0.60913,            0.028339,           0.0045418,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.028426,           0.0063206,                   0,             0.97939,                   1,             0.99414,             0.60216,            0.029491,           0.0044234,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.027424,            0.006304,                   0,             0.98253,             0.96117,             0.99288,             0.61584,            0.027726,           0.0046844,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,             0.02805,           0.0062643,                   0,             0.94223,             0.97581,             0.98941,             0.60587,            0.028474,           0.0045978,                   0,            0.009406,            0.009406,            0.009406
                  32,             0.02821,            0.005954,                   0,             0.97249,             0.97436,             0.98813,              0.6168,            0.026446,           0.0045603,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.027754,           0.0062786,                   0,             0.96535,             0.97436,             0.98465,             0.56533,            0.031114,           0.0046405,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,             0.02688,            0.006017,                   0,             0.99133,             0.97726,             0.99466,              0.6201,            0.027881,           0.0046009,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.027705,           0.0062692,                   0,             0.95074,             0.95726,             0.99013,             0.60571,            0.027861,           0.0045937,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.027467,           0.0060832,                   0,             0.98263,             0.96675,             0.99375,             0.63118,            0.027592,           0.0045149,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.026692,           0.0059063,                   0,              0.9876,             0.98291,             0.99458,             0.64306,             0.02589,           0.0043862,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.027337,           0.0059087,                   0,             0.96971,             0.95726,             0.99021,             0.65208,            0.025482,           0.0044232,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.026795,           0.0061858,                   0,             0.98233,             0.95058,             0.99277,             0.62615,            0.026847,           0.0044352,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.026646,           0.0060643,                   0,             0.98299,             0.98815,             0.99289,              0.6572,            0.025166,           0.0044217,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025824,           0.0057554,                   0,             0.97916,                   1,             0.99483,             0.65454,            0.024799,           0.0042125,                   0,            0.009208,            0.009208,            0.009208
                  42,             0.02518,           0.0057866,                   0,             0.99637,             0.99145,               0.995,             0.67035,            0.024505,           0.0043365,                   0,           0.0091882,           0.0091882,           0.0091882
